lugt;prix;monture;vocvalorisat;palaisete;datation;biblio;vocasiatique;pedigree;chine;japon;inconnu;porcelaine;bronze;cloisonne;estampe;laque;ancien;nbcaracteres;annee
23338;115;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;48;1857
23338;115;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;90;1857
23338;120;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;84;1857
23338;125;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;76;1857
23338;126;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;57;1857
23338;127;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;43;1857
23338;128;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;95;1857
23338;129;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;57;1857
23338;130;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;35;1857
23338;130;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;78;1857
23338;132;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;74;1857
23338;135;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;83;1857
23338;135;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;42;1857
23338;138;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;170;1857
23338;139;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;62;1857
23338;140;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;47;1857
23338;140;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;84;1857
23338;140;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;84;1857
23338;140;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;28;1857
23338;141;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;48;1857
23338;141;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;77;1857
23338;142;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;60;1857
23338;142;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;35;1857
23338;142;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;71;1857
23338;142;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;44;1857
23338;145;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;114;1857
23338;145;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;82;1857
23338;150;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;58;1857
23338;150;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;79;1857
23338;150;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;107;1857
23338;150;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;122;1857
23338;150;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;61;1857
23338;150;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;83;1857
23338;151;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;69;1857
23338;151;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;69;1857
23338;152;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;21;1857
23338;152;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;90;1857
23338;154;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;45;1857
23338;154;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;110;1857
23338;155;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;67;1857
23338;155;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;51;1857
23338;155;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;77;1857
23338;156;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;48;1857
23338;157;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;103;1857
23338;160;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;91;1857
23338;164;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;96;1857
23338;165;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;86;1857
23338;165;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;47;1857
23338;170;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;58;1857
23338;170;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;82;1857
23338;170;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;65;1857
23338;170;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;86;1857
23338;172;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;105;1857
23338;174;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;93;1857
