identifiant;titre
20;Maquette de cette chapelle
21;"Villa ""Roma"""
22;"Hall de la villa ""Roma"""
23;Maison de M. Lascombe
24;Escalier de M. Lascombe
3412;Genêts
3413;Cunnas
3414;Lis
7784;Un coin de l'Isle à Saint-Médard-de-Guizières
7785;Plan de Cuques (Environs de Marseille)
2087;Nature morte
2088;Vieilles maisons à Nérac
2089;Le Pont Vieux à Nérac
2090;Port de Bordeaux (effet de soleil)
2091;Impression de nuit
2092;Automne
2093;Printemps
2094;Le jugement de Pâris
2095;La Sainte Famille
2096;L'Annonciation
2097;Attitudes de chats
2098;Croquis d'art
2703;Paysage
2704;Nature morte (inachevé)
2705;Paysage
2706;Christ (esquisse peinte)
2707;Nature morte
3415;Nature morte
3416;Sables. Cap Ferret
3417;Maison grise. Lot
7281;Vieilles maisons (Lot)
7282;Le Célé à Marcilhac (Lot)
7283;Le château d'Antoire (Lot)
7284;Larnagol (Lot)
8040;Vieille église (Vaucluse)
8041;Chemin aux oliviers
8042;Maison dans les rochers
8043;Route de Gémenos (Provence)
8044;Cazelle à Mareilhac
8227;Rythmes colorés (vitrail)
8228;Cartons de tapisserie
8508;Printemps
8651;Rythmes sur une pensée d'Elie Faure
8652;Peinture abstraite
8869;Composition
8969;Composition
9245;Peinture
9386;Gouache
9387;Gouache
5304;"Projet d'affiche pour ""Une Tragédie Florentine"" d'Oscar Wilde"
25;La petite Gitane
26;Contre-jour intérieur
4747;Pochade
4748;Pochade
2099;Eglise de Saint-Martin (Ile-de-Ré)
2100;Le brise-lame à Batz
2101;Vieilles maisons à Batz
2102;Les filets bleus au Croisic
2103;Barque à marée basse, Croisic
2104;Moulin breton à Batz
2105;Marais salants à Batz
2106;Soir calme à Batz
2107;Rocher à Batz
2108;Matin sur la côte de Batz
2109;Allée du Perrat, Plassat (Gironde)
2110;Soir de septembre, Saint-Médard
2111;Ma tranchée (Champagne 1917)
2112;Etude de vague à Batz
2113;Etude de vague à Batz
2708;Cour de ferme à Lestiac
2709;Rocher à Guétary
2710;Cargo à quai
2711;Brume du matin
2712;Paysage
2713;Un coin de Plassac
2714;Ruelle à Lestiac
2715;Sous-bois
2716;Soleil couchant
2717;Clair de lune à Lestiac
27;La Cathédrale Saint-André
28;Paysages
29;Portrait du peintre
30;Etude
31;La Colonne des Girondins
32;L'autodrome
33;Etudes
818;Rétrospective
2718;Le jeu de construction
2719;Tulipes
2720;Bouquet de chrysanthèmes
2721;Enfant à la pomme
819;Soir d'automne dans un vallon
820;Soleil couchant sur les pins d'Hossegor
1359;Automne
1360;Matin sur la lande
1361;Soleil couchant
1362;Les bords de l'Adour à Grenade
1363;Chevet de l'Eglise Saint-Pierre
9095;Portrait de mon père
34;Paysage
35;Fleurs
36;La jeune fille aux bas de soie
37;Le Café du Phare (Saint-Tropez)
38;Sévillant
6495;Nature morte
6985;Buste (plâtre)
9701;Peinture
39;Francisco Goya
40;Dessin à l'encre
41;M. C…, danseur basque
42;"Vallée de Tardets ; croquis"
43;"Danseurs basques ; croquis"
44;"Montagnes ; croquis"
45;"Sur la route de Licq ; croquis"
46;"Eglise de Licq ; croquis"
47;"Pont de Licq Atherey ; croquis"
48;Croquis
821;Le Cirque de Navacelles
822;"Le Val d'Extre ; Tardets"
823;"Montage de l'Estancia ; Tardets"
824;Pont de bois, à Etauliers
825;Pont de bois, à Etauliers
826;Alos. Pays basque
827;Pont de Licq-Atherey
828;Croquis du pays basque (Haute-Soule)
829;Croquis du pays basque (Haute-Soule)
5392;Vieil étang
5393;Vignobles de Coutet (à Verac Fronsadais)
5394;Vignobles de Bellevue-Gellie à Plassac (Blayais)
7417;La forêt
3418;Nature morte
3419;"""Pinasse"". Cap-Ferret. Marée basse"
3420;Canot. Cap-Ferret. Débarcadère
4092;Colonies
4116;Vases
4117;Tomates
49;Saint-Paul (Alpes-Maritimes)
50;Portrait
