identifiant;titre
6568;Dessin
6569;Dessin
6570;Dessin
7191;Paysage marocain
7192;Rabat
7193;Rue de France, Fez (Maroc)
143;Une rue à Ciboure
144;Pont à Andoroa (Espagne)
145;Vieile porte à Saint-Malo
146;Fronton à Biriatou (B.-Pyrénées)
147;Fronton de Bidart (B.-Pyrénées)
148;Vue de Socoa (B.-Pyrénées)
1464;Dinan des remparts
1465;Saint-Lunaire
1466;Ciboure
1467;Dinan, la place
1468;Socoa
1469;Motrico (Espagne)
1470;Place du Tertre
1471;Notre-Dame
1472;Rouen
1473;Rouen
7425;Les Arums
7426;Bordeaux
7427;Plage de Socoa
7793;Place de Lormont
6571;Souck tunisien
6572;Cabane chasseur, Capbreton
6573;Canal de Capbreton
6574;Les pins à Hossegor
6575;La Nivelle, Saint-Jean-Pied-de-Port
6041;Paysage
6042;Paysage
149;Andalousie
150;Procession del Carmen (Isla Christina, Andalousie)
151;Affiches
8759;La Mare
8760;Moulin de Beaumont
8941;Paysage
8849;Peinture
152;La place de Saint-Savin
153;"Argelès ; paysage"
154;"Argelès ; paysage"
155;Fleurs
156;"Fleurs ; paysage"
1474;Argelès
1475;Lau Balagnas
1476;Paysage
2822;Portrait d'enfant
2823;Soir rose (Argelès)
2824;Soir bleu (Argelès
2825;Blés et maïs (Argelès)
2826;Brumes (Argelès)
2827;Eté pluvieux (Argelès)
2828;Les martyrs (Lot-et-Garonne)
2829;La cour des martyrs (Lot-et-Garonne)
2830;Les grenades
2831;Intérieur
2832;Montravel : la terrasse
2833;La mer (Normandie)
9140;L'ange guide la famille (1948)
8814;Nature morte
8815;Nature morte aux voiles
8816;Portrait de la Savoyarde
8817;Le paysan à la hotte
7428;Matinée d'été à Bonnetant
8137;Le Pont. Chapelle abandonnée
8138;Découverte sorbonicole
5470;Plage de St Georges
5471;Eglise de Lagorce
5472;Moulin d'Ardouin
6043;Effet de vagues devant la digue de Bidart
6044;Clocher de Sare (front basque)
6045;Marée basse (Biarritz)
6046;Rocher de la Vierge (Biarritz)
6047;Bourg de Lagorce
7794;Au bord de la Garonne
7795;Paysage. Bouliac
7796;Paysage. Sauternes
7797;Paysage. Barsac
8139;L'impasse sous la neige
8140;Canards sauvages
8141;La plage du canon
8142;Portrait jeune fille
8143;Après-midi d'été
8144;Au bord de la Garonne
8527;Porte ouverte
8670;Le Jardin de M. César (Provence)
8671;Paysage à Vaison-la-Romaine (Provence)
8883;Lourqueyre
8884;Mascarade
8984;Nu
8985;Automne
8986;Paysage
8987;Marine
8988;Village d'Espagne
8989;Route taille directe
9274;Marine Saint-Jean-de-Luz
9275;Portrait (Homme d'Espagne)
4831;Paysage des Bords de la Loire
4832;Chemin de la ferme et le lavoir à Ris-Orangis (S.-et-O.)
4833;Ferme du Béarn, Moumour, environs de Pau
5473;Le Pont Ste-Geneviève, Paris
5474;Le Pont de la mort aux Buttes-Chaumont, Paris
5475;Le Grenier à sel à Châtillon-Coligny
5476;Vieux Moulin Châtillon-Colligny, Loiret
6048;Eglise de Sceaux, environ de Paris
6049;Vieille maison d'Arcueil, près de Paris
6050;Paysage environs de Paris, La Bièvre
6051;Paysage environs de Paris
8850;Orage
4221;Village de pêcheurs à Yoff Sénégal
4222;Marigt de M'Bao, Sénégal, avant l'hivernage
4223;Le marché de Bamako, Soudan
4224;Le Niger à Bamako, Soudan
4225;La Mosquée de Bossola à Bamako
3517;Portrait de M. S…
3518;Nature morte
3519;L'atelier
4226;Portrait
4227;Portrait
4228;Sète, rochers
4229;Sète, la descente des Bedouiins
4230;Sète, la jetée
4231;Sète, le cimetière marin
4232;Agde
9141;La campagne près de Ferrare (1948)
4233;Hommage à la comtesse de Noailles
9142;Nature morte (1939)
9143;Gondoles (1945)
9144;Autoportrait (1947)
9145;Canal à Venise (1948)
8145;Fleursl de printemps
8528;Fleurs
8672;La Vitrine aux oiseaux
8673;Paysage
8674;Paysage
8885;Amaryllis
8990;La meilleure part
8991;Peinture
9276;La découverte
9277;Paysage
9417;Saint François d'Assise
9418;Fleurs
9600;Sylvie
9601;Préparatifs
9741;Fleurs
5284;Nature morte
5331;Fenêtre à Urigny
5918;Peinture
5919;Peinture
8387;Intérieur
900;Préparatifs de pêche
901;Etude de nu
7330;Nu
7331;4 études pour compositions
157;Le Cimetière (St-Georges-de-Didonne)
158;Sous-bois (St-Georges-de-Didonne)
159;Marée basse près du Port (Saint-Georges-de-Didonne)
160;"La Combe de Paint-Bénit, près de Didonne ; aquarelle"
161;"La Conche aux roseaux à Vallières ; aquarelle"
162;Le Fort du Chay (Royan)
163;A Lacanau-Océan
164;Avant l'orage (Lacanau-Océan)
165;Le sentier des rochers (St-Georges-de-Didonne)
166;Près de Saint-Emilion
167;Croquis et portraits
1312;La Dordogne en amont de Vitrac
1313;La Dordogne en aval de Vitrac
1314;Bras mot de la Dordogne, près de Domme
1315;"Etang de Lacanau, Rochers de Valières ; Chemin à Saint-Georges-de-Didonne ; Le phare des Lapins (effet de nuit), 280 fr l'une"
1316;Croquis et portraits (mine de plomb)
1321;Découpages et rosaces coloriées (dans un cadre). 30 fr l'un, avec droit de déposer le modèle
1477;Pontaillac en 1891 (document)
1478;Le lac Léman vu d'Ouchy, 1887
1479;La plage du Pyla, 1879
1480;Vallée de la Cèze et Château de Polminhac, 1885
1481;Pointe de Suzac vue de Saint-Georges, 1907
1482;La Grande Côte et Bonne Anse
1483;La Garonne à Podensac
1484;Lacanau Océan, ciel nuageux
1485;Lacanau Océan, ciel clair
1486;Crépuscule près de Médis
1487;Soleil couchant en Limousin
1488;Pointe de Saint-Palais vue de Pontaillac
1489;Etang de Lacanau après l'orage
1490;Lacanau Océan, soleil couchant
2665;Projet de tapis linoleum, fond et frise
2834;Clairière près de Suzac
2835;La Pointe-de-Grave, vue de Valières
2836;Maison près de Quinsac
2837;Bouche de la Dordogne à Trémolat
2838;Arcachon en 1879
2839;Pontaillac en 1875
2840;Paysage (Mérignac)
2841;M. D. B… porche de Sainte-Croix
2842;M. D. B… Dune du Pyla
2843;Portrait du Professeur Armand de Fleury
2844;Vue de la Réoe
2845;Vue de Bourg-sur-Gironde
3520;Paysages dans un cadre
3521;Paysages et sujets divers dans un cadre
3522;Portrait d'autrefois dans un cadre
3523;Aquarelles dans un cadre
4234;Route de la Conche des Nonnes Meschers
4235;Paysage Mérignac
4236;A St-Georges-de-Didonne
4237;A Lacanau-Océan
4834;Boucle de la Dordogne à Trémolat
4835;Océan
4836;Garonne
4837;Cauchemar
4838;A Mérignac
5477;Au Moutchic, après l'orage
5478;Lacanau-Océan, Crépuscule
5479;Lacanau-Océan, Ciel nuageux
5480;Paysage Mérignac
6052;Bord de rivière
6053;Bord d'étang
6054;Océan
6055;Aquarelles dans un cadre
6056;Quatre dessins dans un cadre
6057;Portraits, divers sujets, dessins humoristiques
6576;Bord d'étang
6577;Brume d'hiver sur l'océan
6578;Paysages
6579;Dessins divers
1491;Beynac et la Dordogne
1492;L'église de Montpazier
1493;Une rue dans le vieux Bergerac
4238;Sur la dune
4239;Reflets
4240;Pinasse à Mimizan
4241;Andernos
4242;Paimpolaises
7048;Le pauvre pêcheur (Port de Bordeaux)
7049;Cargo dans la brume (Port de Bordeaux)
7050;Baigneuses (Arcachon)
7051;Zinnias
7052;La femme du gabarier
7053;Vapeur norvégien dans les docks (Bordeaux)
7054;La gondole (Port de Bordeaux)
7055;3 dessins plume (Arcachon)
7504;Tableaux et études du Port de Bordeaux (H et A)
7893;Marine
7894;Port de Bordeaux
7895;Port de Bordeaux
7896;Fleurs
168;Bergère endormie
169;Les Lavandières
170;Le départ au marché
171;Sur la route du marché
172;Arrivage de bœufs
173;Vache à l'abreuvoir
174;L'Intendance le soir
175;Après-midi au Vigean
176;Vue du Vigean vers Blanquefort
177;La Garonne à Montrejean
178;Sous-bois au Vigean
179;Etude d'automne
180;Vieux pin et jeune chêne
181;La Garonne du haut de Camblannes et divers autres tableaux
8367;Buste de M. Y. M.
8368;Tête décorative. Iris
8437;Les quatre fils Aymon
8438;Iris
8439;Maternité
8440;Buste de Mme M. G…
8529;Jeune fille russe
8530;Complainte
8767;Sculpture
8886;Portrait de Mme Madeleine C…
8887;Jeune fille au lotus
9278;Buste
9279;Bas-relief
9419;Groupe décoratif, les 4 Saisons
9420;Daphnis, bas-relief (pierre reconstituée)
9602;Tête de jeune fille
9603;Sculpture marbre
9742;Portrait de Madame M. C.
9743;Portrait de Monsieur Mytilinéos
9744;Portrait de Mademoiselle Renée Jean
9745;Etude décorative (marbre enluminé)
3524;Coin de bois en Vendée
2846;Le Cyprès, campagne de Sanary
2847;Le Cabanon, campagne de Sanary
2848;Le Compotier de pêches
4839;Nature morte
5922;Nature morte
5923;Paysage
5924;Paysage
8617;Marée basse
9146;Vache à l'étable (1945)
1985;Pie et écureuil (gravure en couleur)
1986;Drame dans un aquarium (grauvre grain de résine)
7429;L'écolier
7430;Le jeune Espagnol
7798;La jeune femme au manchon
7799;Le Brésilien
8146;L'Echarpe rouge
902;L'aurore boréale
903;Le pont de Neuvic
5285;Combat de bêtes
4840;Eglise de Floirac
4841;Danseuses
4842;Etude : la soupière
4843;Paysage
4844;Ex libris pour un médecin
4845;Scripta manent
4846;D'après le masque de Beethoven
4847;Chapelle à La Tresne
3525;Nature morte au canard
3526;Paysage du Loiret (Eglise de Chambon)
3527;Bouquet de tulipes
3528;Poissons
4848;Les remparts à St-Gimiguano
4849;Nature Morte à la Tulipe rouge
5332;Fleurs
5920;Paysage
5921;Composition
7194;Guadeloupe
7195;Nature morte
7196;Fleurs
8532;Le Port des Sables
8619;Effet de neige banlieue de Paris
8620;Paysage de Vendée
8621;Sous-bois (éclairage à contre-jour)
4858;La partie de pêche
4859;Vue de Marcilhac-sur-Lot
6583;Intérieur
6584;Portrait
6585;Portrait d'une amazone
6586;Portrait
6587;Portrait collectif (Lavis)
7332;Paysage (Lavis)
7333;Paysage (Lavis)
7334;Portrait
7335;Portrait (Lavis)
7336;Portrait (Lavis)
7337;Portrait (Lavis)
7338;Portrait (Lavis)
7723;Jeunes chanteuses
7724;Etude pour un Saint Antoine
7725;Etude de jument déhanchée
7726;Portrait collectif
7727;Jeune joueur d'accordéon
7728;L'homme au cabestan
7729;Le grand jeu
8054;Ecoliers (composition)
8055;Portrait d'enfant
8056;Nature morte
8057;Nature morte
8058;Portrait d'enfant (Lavis)
8059;Portrait
8060;Composition
8061;Portrait
8062;"Portrait de Monsieur D… dans ""L'Otage"""
8252;Portrait
8253;Repos aux champs
8254;Projet
8444;Enseigne
8445;Portraits
8534;Paysage hivernal
8535;Portrait (lavis)
8675;Une maternité
8676;Etude d'enfant
8677;Paysage
8678;Paysage
8679;Les Aveugles à Jéricho
8818;La rue Paul-Bert
8819;La rue Turene
8888;Nature morte
8992;Portrait
8993;Portrait
8994;L'exorcisme
8995;L'exorcisme
8996;Paysage
8997;Paysage
9280;Panneau décoratif
9421;Composition
9422;Le temps perdu
9423;Paysage
9424;Paysage
9425;Portrait
9604;Nature morte
9746;Panneau décoratif
4249;Portrait de Mme X…
4250;Désespoir
4251;Etude d'enfant
4252;Etude d'enfant
4253;Etude d'enfant
4254;Etude d'enfant
4255;Etude d'enfant
4256;Pensée créatrice
4257;Colombine
4258;Vision de Baudelaire
4259;Etude de femme
6058;Profil
6059;Gaîté
6060;Le Pelotari
6061;Basque
6062;Grand-Mère (3 crayons)
6588;Portrait de Mademoiselle J. C…
6589;Cordes, rue du Pater-Noster et porte de l'Horloge
6590;Albi, le Vieux Pont et la Cathédrale
6591;Ferme vendéenne
6592;Roses
6593;Portrait de Madame A.C.L.
5481;Portrait de jeune homme
5482;Paysage
5483;La rivière verte
6063;Le Clocher
6064;Village de Provence
6065;Nu à l'étoffe rose
6594;Les toits bleus, paysage
6595;Paysage à Saint-Bernard
6596;Nature morte, fleurs
8820;Nature morte
8821;Paysage du Midi
4243;Un envoi de Nice
4244;Saint-Jean de Luz : Cloître des Recollets
4245;Saint-Jean de Luz : Rue de la Baleine
4246;Ciboure : La Croix Blanche
4247;St-Etienne-de-Baigorry : Le Pont Romain
4248;L'Eglise de Biriatou
7056;Bassin d'Arcachon. Pirailhan
7057;Bassin d'Arcachon. Une pinasse
7058;Bassin d'Arcachon. Grand Piquey
7059;Bassin d'Arcachon. Soir d'été
7060;Annamite
7061;Tonkinoise
7505;Arcachon. La Forêt
7506;Le pied du château. Langoiran
7507;Pays basque. Vieux pont
7508;Mahmadou
7509;Soudanaise
7897;Le professeur Léon Gentès
7898;Dans la forêt d'Arcachon
7899;Bassin d'Arcachon au Piquey
7900;Le soleil sur la neige
7901;Soir d'hiver
4260;Peinture
4261;Peinture
2850;Hortensias
2851;Dahlias
2852;Dahlias
2853;Pivoines
2854;Zinnias
2855;Phlox et Marguerites
2856;Anémones
2857;Zinnias
3529;Hortensias
3530;Zinnias
3531;Nature morte
3532;Intérieur
3533;Dahlias
3534;Glaïeuls
3535;ZInnias
3536;Iris
3537;Anémones
3538;Roses
3539;Roses blanches
3540;Reines marguerites
3541;Zinnias
3542;Capucines
4262;Pivoines
4263;Hortensias
4264;Roses
4265;Zinnias
4266;Pétunias
4267;Anémones
4268;Capucines
4269;Zinnias
4270;Anémones du Japon (ovale)
4850;Iris
4851;Hortensias
4852;Phlox et marguerites
4853;Rocher à Socoa
4854;Vieille Maison
4855;Dahlias blancs
4856;Zinnias
4857;Zinnias (sur un livre)
182;La Salamandre et l'Alchimiste
183;L'infidélité
184;Ce que j'ai vu aux bains de mer
185;Vue de Versailles
186;Bords du bassin d'Arcachon
187;Coucher de soleil
3543;Le parc sous la neige
3544;L'île de la cité, le soir
3545;Le château de Rouillac en automne
3546;Coin de parc
3547;Cascade de Mahourat (Cauterets)
3548;Lac de Gaubé
3549;Le Pont d'Orthez
3550;Paysage
3551;Pont d'Espagne
3552;Nuages
8533;Nature morte
8761;Peinture
8536;Sous-bois
5484;Ibiza
5485;Fermes des Landes
5486;Fenaison
5487;Santa-Eulalia
2849;Portrait
7800;La maison dans les collines
7801;Les vieilles de chez nous
7802;Le Pin Franc
188;Parc d'Ur Bat à Safi (Maroc)
189;Le Souk (Safi, Maroc)
190;Une vieille rue à Safi
191;La Kechla à Safi
192;Le château de mer (Safi)
193;Un coin de Bordeaux sous la neige
194;Fleurs
195;Fleurs
904;Fatma
905;Roses
906;Sous la tente
907;Vue d'Aneizan (H.-Pyr.)
908;Jonquilles et violettes
909;Roses blanches
910;Dans le bled
911;Vue de Safi
912;Chrysanthèmes
3553;Paysage
3554;Paysage à Marcamps
3555;Paysage
3556;Gouache
4271;Le chenal à la Teste
4272;Paysage à l'Aiguillon
4273;Etude
4860;Peinture
4861;Paysage
4862;Etude (portrait)
4863;A Arcachon
5488;De la fenêtre
5489;La petite
5490;Paysage
5491;Etude
5492;Le tricot
6066;Convalescence
6067;A Peujard
6068;A Caudéran
6580;Bord de l'eau, Lavagnac
6581;Le bouquet
6582;Peinture
7339;Buste d'enfant (Bronze)
7340;Médaille (Argent)
8063;Christ (Bois)
3557;Village de Saint-Cirq-la-Popie (Lot)
3558;Village de Montbrun (Lot)
7431;Bernadette enfant (Plâtre)
7432;Buste d'enfant (Bois de Makoré)
7803;Bernadette (Terre cuite)
7804;Prière (Plâtre)
7805;Les escholiers
9222;Lavandières
9223;La fille du gondolier
9224;Vieux gondolier
9225;Fillette
9226;Enfants
9227;Danseuses
9228;Danseuses
9229;Arlequines
9230;Danseuse
9231;Nu couché
9232;Baigneuse
9233;Nu
9234;Danseuses
9235;La source
9236;Danseuse
9237;Scène tzigane
9238;Scène tzigane
9239;Portrait
9240;Nu
9241;Nu
9242;Nu couché
9147;Venise. La Piazzetta (1948)
8822;Peinture objective
8147;Pochade
8148;Angers
196;Les Pyrénées
197;Diane
198;L'Attaque de l'entonnoir
8149;Nature morte
8150;Aline (Buste plâtre)
8151;Serre-livres (Terre cuite)
8152;Bigourdane (Terre cuite)
1496;Pabion, Nice
1497;Oliviers, Nice
1498;Aquarelle. Paris, les quais
1499;Aquarelle. Bois-Colombes, la gare
1500;Aquarelle. Coteau à Nice
5360;Filles d'Alger
2020;Paysage
8531;Nature morte
9103;Peinture
9104;Paysage
1494;Matin en Ile-de-France
1495;Route en Auvergne
2858;Bandol
2859;Glaïeuls et Renoncules
2860;Sous-bois à Gradignan
2861;Inondation
3559;Les bouleaux du Priou, à Eyrans, matinée de décembre
3560;Crépuscule d'octobre, marais d'Eyrans
2862;Jonques à Zako
2863;Faubourg de Hang-Tchéou
2864;Sur la rivière de Saïgon
2865;Sur le Lac-de-l'Ouest
2866;Bonze bouddhiste
9373;Arlequin
7197;Buste de fillette (Plâtre)
7198;Tête (Métal)
7613;Buste de Mme L. de L.
7614;Portrait de Mme des F…
7984;La flamme de la foi
7985;Les ailes de l'espérance
7986;Le manteau de la Charité
7987;Portrait de Mlle Claude V…
7988;Portrait de Mlle Christine V…
4080;Presse-livre
4081;Poisson décoratif
4082;Satyre moderne (mascaron)
4083;Lionne argentée (mascaron)
4093;Panneau décoratif
4866;Le Christ
4867;Le quai
3561;Palma de Majorque. Orage sur le port
3562;Palma. Calle Socorro
3563;Majorque. Establiment
3564;La Rance à Dinan
7341;Fleurs (Bleues et maves)
7342;Fleurs (Soleils)
7343;Port landais
7344;Port landais
7345;Paysanne
7730;Nymphes
7731;Musique
7732;La source
7989;Fleurs
7990;Nature morte
8255;Composition
8256;Nature morte
8257;Vénus noire
8258;Le coquillage
8259;Objets étranges
8446;Peinture
8538;Exaltation
8889;La jeune fille au bouquet
8998;Le voile de Véronique
8999;Peinture abstraite
9281;Prière
9282;Paroles du Soir
9283;Bacchantes dans la forêt
9284;Rythmes abstraits (Samba)
9426;Baigneuse (1946)
9427;Visitation (1949)
9605;Composition 1945
9606;Petite pochade 1945
9747;La nuit du 14 juillet 50 à St-Germain-des-Prés
9748;La machine volante
7902;Aquarelle
7903;Aquarelle
7904;Aquarelle
7905;Aquarelle
8153;Cabanes de pêcheurs
8154;Marée basse
8155;La maison sur pilotis
8260;Paysage charentais
8261;Soir à Piraillan
8539;Marée basse
8680;Le Château de Gajac
8681;Retour de pêche
8890;La couche à Piraillan
9000;La plage en été
9001;Paysage au puits
9285;Le port de Lanos (Gujan-Mestras)
4868;"""Rapallo"" La promenade"
4869;Petites filles
9428;Anges musiciens (émail céramique)
9429;Buveurs (émail céramique)
8384;Composition
9374;Nature morte
8823;Les péniches
8824;Bords de Seine
2867;Femme au chapeau
2868;Nu
4870;Fleurs
8851;Port de Sète
7346;Les blés
7347;Au pont de Libourne
7348;La Dordogne à Libourne
7349;Matinée en Dordogne
7733;Temps de pluie sur la Charente
7734;Paysage en Quercy
9286;Citrons
3565;Moulin de Couhins (Villenave d'Ornon)
3566;Moulin de Monjous
3567;Prairie et arbres. Le Bouscant
3568;Pin au bord de la Leyre
3569;Mare à Lamothe (Gironde)
3570;Mare au Teich (Gironde)
4274;Le Cron à Barsac
4275;Barsac, Pont sur le Ciron
4276;Lège, un coin du canal
4277;Panier de roses
7510;Marines et paysages
3571;Nymphe (création)
3572;Coin du Jardin-Public
3573;Portrait d'après modèle vivant
3574;Portrait de M. B.
8383;Tête aux fruits
8537;La Demoiselle aux fers
9287;Nu
9842;Costumes de théâtre
9843;Visages de Bordeaux. 10 illustrations originales
4871;L'origine du feu
6597;Tête de gitane
6598;Ile Bréhat, Bretagne
6599;Gitane espagnole
5493;Renoncules
5494;Etude
5495;Le vase bleu
5496;Paysage
199;Le vieux Cannes
200;Vieille rue à Cahors
1942;Sculpture (nu), pierre de Neufville
2659;Figure (pierre)
3367;Figures (pierre)
2188;Masque
2189;Mappemonde
5960;Nature porte
5961;La Seine à St-Denis
5962;Peinture
5963;Peinture
8645;Jeune femme assise
1971;Printemps des villes
6069;Véronique (Phases de corrida)
6070;Passe de muleta
6071;Tulipes
6072;Maisons béarnaises (Salies-de-Béarn)
6073;Vieilles maisons sur le Saleys (Salies)
6074;Clair de lune au bord du Saleys
6075;Nature morte
6600;Tulipes
6601;Dahlias
6602;Natu
6603;A Sauveterre-de-Béarn
6604;Rue à Salies-de-Béarn
9221;Canal à Burano (1948)
4872;Portrait
4873;Portrait
4874;Enfant
4875;Enfant
4876;Ivrognesse
4877;Gosse
4878;Le savetier et le financier
4879;Portrait couché
4880;Portrait de J. C.
5497;Portrait
5498;Portrait
5499;Portrait
5500;Maternité
5501;Maternité
5502;Enfant
5503;Paysage
6076;Les Cabanons (Eze)
6077;La sieste (Eze)
6078;Le petit jardin (Eze)
6079;Fleurs
6080;Villa à Piquey
6081;Paysage
6605;Le vaisseau fantôme
6606;Portrait de jeune fille
6607;Portrait d'enfant
6608;Portrait d'une chienne
6609;Paysage du Piquey
6610;Givry (Yonne, le cousin)
6611;Bouquet de printemps
6612;Les ciguës
7199;Le pain de serpent
7200;Arlequin
7201;Ferme charentaise
7615;Paysage
7616;Paysage
7617;Portrait
7618;Dessin
7619;Dessin
7991;Nature morte
8371;Arlequin
8372;Enfant au col marin
8373;Composition
8447;Arlequin assis
8541;Peinture
8682;Peinture
8683;Peinture
8684;Peinture
8891;Portrait de Jean Lagénie dans le rôle du frère Ananias, de l'Alchimiste
9288;Joueuse
9430;Joueuse
9607;Paysage de Courteilles
9749;Nature morte
9750;Paysage
8388;Nature morte à la bougie
913;Cours Anatole-France
914;"Lac du Parc-Bordelais ; Campagne ; Bassin Arcachon ; Nu. 50 fr l'un"
915;"Idéal ; Jardin-Public de Bordeaux. 60 fr l'un"
1501;Sainte-Thérèse de l'Enfant Jésus
1502;MM. Poincaré, le Roi des Belges et le Maréchal Pétain saluant les glorieux de Verdun
1503;"Guynemer, l'""as des as"""
1504;Mouleau près le bassin d'Arcachon
1505;Femmes charitables travaillant pour les sinistrés du S. O.
1506;Château Saint-Georges
2190;Intérieur de cuisine
2191;Le regain
2192;Moulleau, sur le Bassin d'Arcachon
2193;Guynemer haranguant son escadrille
2194;Les chevreuils
2195;Danse bretonne
916;Aux Abatilles
917;Rocher à Biarritz
918;Contrebandier
919;Jeunesse
920;Fleurs dans pot noir
921;Harmonie de Fleurs
1507;La réussite
1508;Petit chagrin
1509;Portrait
1510;Aquarelle
1511;Aquarelle
1512;Aquarelle
1513;Aquarelle
1514;Aquarelle
1515;Aquarelle
2196;Nature morte
2197;Tête de jeune femme
2198;Nu
2199;Nu (femme endormie)
2200;Danseuse
2201;Girl
2202;Portrait
2203;Tête d'expression (grisaille)
2204;Portrait de M. X…
2205;Fleurs (glaïeuls)
2206;Fleurs
2869;Nature morte
2870;La vieille grand-mère
2871;La lecture
2872;Portrait de M. J.-M. L.
2873;Portrait de M. H. L.
2874;"Le chapeau ""haut de forme"""
2875;Tête d'expression
2876;Zinnias dans pot noir
2877;Tulipes roses
2878;Vase de fleurs
3575;Jeunesse en blanc
3576;Nu : femme allongée
3577;Grande nature morte
3578;Femme à sa toilette
3579;Le bouquet de zinnias (dans vase blanc)
3580;Le châtaignier
3581;Des zinnias
3582;Nature morte
3583;Paysage à St-Jean-de-Luz
3584;La Nivelle à St-Jean-de-Luz
3585;La Nivelle et la Rhune
3586;Fleurs
4278;Fleurs et nature morte
4279;Roses et pivoines
4280;Vue sur St-Jean-de-Luz
4281;Symphonie en vert
4282;Moulin de Lilette
4283;Le Moulin (Gers)
7350;Nature morte (Une harmonie)
7351;La nappe blanche
7352;Tête de jeune fille
7353;Portrait de Mlle C. S.
7354;Portrat de M. J. F.
7735;Les arums
7736;Pensée lointaine
7737;Fantaisie-travesti
7738;Les œillets blancs de fête
7739;Fleurs de printemps
8064;Projet de portrait
8065;L'aïeule
8066;Nature morte à la Vierge
8067;Vision d'atelier
8542;L'Etudiante
8685;Harmonie
8686;Pénombre
8892;Nature morte
8893;Jeune fille en gris
9002;Consolation
9003;Espérance
9004;Maternité
9289;La soupière blanche
9290;Le vase blanc
9431;Nature morte à la cruche
9432;Paysage (impression)
9433;Portrait
9608;Nature morte
9609;Petite table au soleil
9610;Le Chêne
9751;Nature morte aux pommes
9752;Nature morte à la mandoline
5504;Fin du jour à Floirac
5505;Mont Igueldo (Espagne)
5506;Etude St-Sébastien
5507;Etude Bourg (vieille porte)
5508;Etude la Brède (Château)
5509;Etude à Bourg
5510;Etude St-Jean-de-Luz
5511;Etude Gravières (Floirac)
5512;Portrait
5513;Fleurs
5514;Une mare à l'Alouette
5515;Falaises à Socoa
5516;Un coin du Château la Brède
5517;St-Emilion (Château du Roi)
5518;Dessin, Portrait
651;"Torse ; plâtre"
652;"Etude ; terre"
6613;Vieilles maisons, Bruges
6614;Bièvre, effet d'automne
201;Corbeille de roses
202;Panier de fruits
203;Bassin d'Arcachon
204;Vue des Pyrénées
205;Cauterets
206;Au pays des cêpes
207;Le vieil acteur
208;Cirque de Gavarnie
1516;L'échassier
1517;Le résinier
1518;La parqueuse
1519;Le marin
1520;Retour des mouliniers
1521;Bœufs au pacage
1522;L'aïeul
1523;Retour du marché
4881;Le lac de Gaube (Hautes-Pyrénées)
4882;Col du Tourmalet
4883;Le départ au champ
4884;Boulevard des Pyrénées à Pau
7806;Départ aux champs
7807;Paysage montagne
6615;Peinture murale
8448;Peinture
209;Barques par gros temps
210;Cheval de fiacre
211;Cheval de fiacre
922;Peinture
923;Peinture
881;Dessins
4284;Paysage de Dourgne (Tarn)
4285;Eglise de banlieue
212;L'église de Lormont
213;Tronc de vieux chêne
214;Les arbres à contre-jour
215;Le Chenal à La Tremblade
216;Coin de dune à Ronce-les-Bains
217;Matinée d'été à Larchevêque
924;Rayons du soir sur la Garonne, à Bordeaux
925;Matin d'été sur la Jalle de Blanquefort
926;Vieille tour à Lesparre
927;Votre serviteur
928;Sous bois
929;Les chaumières à Floirac
930;Mer et épave
931;Vue sur la plage à Ronce-les-Bains
1524;A Floirac. Pasage
1525;Le ruisseau
1526;Matinée sur le Ciron
1527;Le Ciron par temps gris
1528;Cabane landaise
1529;Le sentier
1530;Sous bois
2879;Rayons du soir. Bordeaux
2880;Le Ciron, moulin de Lassale
2881;Le Ciron, Lamothe
2882;La route ensoleillée
2883;Dégel
2884;Après la pluie
2885;Matinée sur la jalle
3587;Portrait de Stéphane Jaeger
3588;Château d'Angoulim
3589;Le chêne-vert
3590;Figure
3591;La route
3592;Le port d'Angoulim
3593;Tête d'homme
8389;L'atelier
8540;La Nappe brodée
4795;Portrait de Joséphine Baker
4796;Paysage de l'Île de France
7714;Jesusa
7715;Ondarroa
7716;Le vieux port à Guetaria
7717;Etude de vague
4864;Chevaux et cavaliers
4865;Deux chevaux
5336;Munich
5047;"""Les Masques"""
8548;L'Ile aux moines
5060;Le père Maffredi
5061;Paysage d'Espagne
7847;Portrait de M. Régis de Vibraye
7848;Blanche-Neige et les sept nains (Portrait)
5127;Nature morte italienne
5128;Nature morte
9178;Feuilles de platane (vers 1938)
9179;Nature morte au chou-fleur (1948)
9180;Champignon (1947)
5167;Nu
5168;La rue sur le port
5169;Nuages
5170;Les champs
5759;St François d'Assise parlant aux poissons
5760;Asturias
5761;Les Peupliers
5762;Pochade
6334;Portrait
6335;La Flèche
6336;St-Amand-de-Grâce
6337;Etude
6896;Portrait
6897;Bordeaux : Le Pont
6898;Vibrac
8545;Nature morte aux fruits
9367;L'arrestation
9368;La résurrection de Lazare
9542;Peinture
9543;Peinture
9544;Aquarelle
9545;Dessin
9546;Dessin
1987;La chemise
1988;Régates à Venise
4717;Poisson
4718;Route à Bullion
5272;Route en Italie
5357;Chioggo, près Venise
4060;Paysage Catalan
4061;Méditerranée (La Costa Brava)
4062;Grisaille
4063;Printemps
4064;Auberge à Santa-Cristina
4065;Eté
4066;Avril
4067;Ferme berrichonne
4094;Panneau moderne (zinc gravé et fil de fer galvanisé)
4719;Intimité
4720;Portrait
4721;Herbe
4722;Carrefor
4723;Paysage
5064;Le Pacha
